name,ration,damege,image,event,value
魔王様,,,pipo-boss001,,
地獄の呪術師,,,pipo-boss002,,
全テヲ喰ラウ闇ノ口,,,pipo-boss003,,
邪神竜王,,,pipo-boss004,,
コウモリ,40,10,pipo-enemy001,,
吸血蝙蝠,50,30,pipo-enemy001a,,
光るコウモリ,60,30,pipo-enemy001b,経験値UP,1
ワンコ,30,12,pipo-enemy002,俊敏,3
オオカミ,35,24,pipo-enemy002a,俊敏,3
レッドウルフ,65,40,pipo-enemy002b,俊敏,5
へび,45,9,pipo-enemy003,,
スネーク,45,12,pipo-enemy003a,,
毒ヘビ,55,10,pipo-enemy003b,ポイズン,5
ブルービートル,50,30,pipo-enemy004,,
ビートル,60,30,pipo-enemy004a,,
ゴールドビートル,50,10,pipo-enemy004b,,
謎の虫,10,50,pipo-enemy005,,
イモムシ,40,10,pipo-enemy005a,,
悪い虫,50,40,pipo-enemy005b,,
ツリーマン,60,20,pipo-enemy006,,
サクラマン,65,20,pipo-enemy006a,,
地獄ノ木,60,37,pipo-enemy006b,,
食人草,55,26,pipo-enemy007,,
マンイーター,55,26,pipo-enemy007a,ポイズン,7
灰ノ花,60,60,pipo-enemy007b,,
キノコマン,40,9,pipo-enemy008,,
ゴールドキノコ,60,9,pipo-enemy008a,経験値UP,1
ポイズンキノコ,40,9,pipo-enemy008b,,
スライム,35,5,pipo-enemy009,,
ピンクスライム,40,5,pipo-enemy009a,,
ダークスライム,40,10,pipo-enemy009b,,
ゴースト,40,9,pipo-enemy010,,
水ゴースト,40,18,pipo-enemy010a,魔法,4
悪霊,60,20,pipo-enemy010b,魔法,10
オーガ,40,11,pipo-enemy011,,
ポイズンオーガ,65,10,pipo-enemy011a,ポイズン,10
煉獄鬼,65,75,pipo-enemy011b,,
ファイヤーゴースト,40,11,pipo-enemy012,魔法,3
ウォーターゴースト,40,22,pipo-enemy012a,魔法,5
闇ゴースト,50,22,pipo-enemy012b,魔法,11
ゴブリン,42,10,pipo-enemy013,,
レッドゴブリン,42,13,pipo-enemy013a,,
ブルーゴブリン,54,15,pipo-enemy013b,,
ウルフマン,50,30,pipo-enemy014,,
レッドマン,50,35,pipo-enemy014a,,
ホワイトマン,45,40,pipo-enemy014b,,
ピッグマン,46,40,pipo-enemy015,,
ファイヤーマン,47,40,pipo-enemy015a,,
魔神ちゃん,60,100,pipo-enemy015b,,
トカゲ,43,10,pipo-enemy016,,
ゴールドトカゲ,70,3,pipo-enemy016a,経験値UP,2
ブラックトカゲ,50,30,pipo-enemy016b,,
ゴースト,40,10,pipo-enemy017,魔法,8
ミストゴースト,40,10,pipo-enemy017a,魔法,16
ヘルゴースト,40,10,pipo-enemy017b,魔法,24
兵士,40,20,pipo-enemy018,,
_レッドナイト,88,84,pipo-enemy018a,,
ダークナイト,88,68,pipo-enemy018b,,
アカオニ,63,46,pipo-enemy019,,
青鬼,72,44,pipo-enemy019a,,
魔神くん,83,59,pipo-enemy019b,,
一つ目,84,43,pipo-enemy020,,
悪鬼,55,78,pipo-enemy020a,,
灰鬼,76,55,pipo-enemy020b,,
ドラゴン,86,36,pipo-enemy021,,
ファイヤードラゴン,79,79,pipo-enemy021a,,
悪龍,56,95,pipo-enemy021b,,
ホークマン,67,39,pipo-enemy022,,
フェニックス,98,94,pipo-enemy022a,,
地獄ノ鳥,92,69,pipo-enemy022b,,
ケロちゃん,94,68,pipo-enemy023,,
ケルベロス,82,61,pipo-enemy023a,,
ホワイトケルベロス,95,46,pipo-enemy023b,,
悪魔,83,10,pipo-enemy024,,
アングリー悪魔,54,30,pipo-enemy024a,,
サタン,49,24,pipo-enemy024b,,
呪術師,62,20,pipo-enemy025,,
魔導士,91,38,pipo-enemy025a,,
地獄ノ使者,75,85,pipo-enemy025b,,
動く鎧,100,56,pipo-enemy026,,
呪いの鎧,88,11,pipo-enemy026a,,
ダークナイト,59,86,pipo-enemy026b,,
スパイダー,46,78,pipo-enemy027,,
レッドスパイダー,99,18,pipo-enemy027a,,
ポイズンスパイダー,90,63,pipo-enemy027b,,
レッド蠍,50,19,pipo-enemy028,,
スコーピオン,59,57,pipo-enemy028a,,
ダークスコーピオン,96,51,pipo-enemy028b,,
クラウン,89,27,pipo-enemy029,,
雨雲,57,76,pipo-enemy029a,,
ダーククラウン,65,12,pipo-enemy029b,,
謎の卵,87,41,pipo-enemy030,,
水龍の卵,45,39,pipo-enemy030a,,
悪い卵,70,22,pipo-enemy030b,,
元気なヒツジ,59,17,pipo-enemy031,,
ピンクシープ,76,43,pipo-enemy031a,,
羊,63,79,pipo-enemy031b,,
偽宝箱,62,24,pipo-enemy032,,
魔王城の宝箱,74,67,pipo-enemy032a,,
青銅の宝箱,45,100,pipo-enemy032b,,
ゴーレム,40,89,pipo-enemy033,,
凍ったゴーレム,70,15,pipo-enemy033a,,
魔王城のゴーレム,59,11,pipo-enemy033b,,
ネズミ,64,87,pipo-enemy034,,
土ネズミ,88,96,pipo-enemy034a,,
闇ネズミ,92,13,pipo-enemy034b,,
